,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,year
45,0.58,0.881,4,-3.004,1,0.042,0.0508,0.0,0.106,0.384,76.989,audio_features,2DvOwcQd7RB5IV7MdlwpvN,spotify:track:2DvOwcQd7RB5IV7MdlwpvN,https://api.spotify.com/v1/tracks/2DvOwcQd7RB5IV7MdlwpvN,https://api.spotify.com/v1/audio-analysis/2DvOwcQd7RB5IV7MdlwpvN,183413,4,Damn!,2003
46,0.623,0.672,11,-5.58,0,0.0234,0.0188,0.0508,0.103,0.332,96.078,audio_features,3gVDRvW6xR3aKdPWkUOVdo,spotify:track:3gVDRvW6xR3aKdPWkUOVdo,https://api.spotify.com/v1/tracks/3gVDRvW6xR3aKdPWkUOVdo,https://api.spotify.com/v1/audio-analysis/3gVDRvW6xR3aKdPWkUOVdo,230413,3,This Is the Night,2003
47,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,audio_features,7vFv0yFGMJW3qVXbAd9BK9,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,https://api.spotify.com/v1/tracks/7vFv0yFGMJW3qVXbAd9BK9,https://api.spotify.com/v1/audio-analysis/7vFv0yFGMJW3qVXbAd9BK9,249627,4,Your Body Is a Wonderland,2003
48,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,audio_features,1AEYT6VxrxXPMoQUxsY0E4,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,https://api.spotify.com/v1/tracks/1AEYT6VxrxXPMoQUxsY0E4,https://api.spotify.com/v1/audio-analysis/1AEYT6VxrxXPMoQUxsY0E4,285570,4,Headstrong,2003
49,0.691,0.541,1,-5.873,1,0.0776,0.508,0.0,0.0753,0.319,127.683,audio_features,5ojJNnX5ND2gMGojPd3NiO,spotify:track:5ojJNnX5ND2gMGojPd3NiO,https://api.spotify.com/v1/tracks/5ojJNnX5ND2gMGojPd3NiO,https://api.spotify.com/v1/audio-analysis/5ojJNnX5ND2gMGojPd3NiO,243307,4,In Those Jeans,2003
50,0.751,0.84,6,-4.855,1,0.349,0.367,0.0,0.0916,0.801,99.057,audio_features,2CtCwQhY0ZLvr8L2l8Bo6e,spotify:track:2CtCwQhY0ZLvr8L2l8Bo6e,https://api.spotify.com/v1/tracks/2CtCwQhY0ZLvr8L2l8Bo6e,https://api.spotify.com/v1/audio-analysis/2CtCwQhY0ZLvr8L2l8Bo6e,213760,4,Stand Up,2003
51,0.589,0.867,10,-4.523,1,0.0385,0.041,0.0,0.306,0.795,94.52,audio_features,4tK4ARuilOrBzwVQK73E0Y,spotify:track:4tK4ARuilOrBzwVQK73E0Y,https://api.spotify.com/v1/tracks/4tK4ARuilOrBzwVQK73E0Y,https://api.spotify.com/v1/audio-analysis/4tK4ARuilOrBzwVQK73E0Y,256441,4,The Remedy (I Won't Worry),2003
52,0.495,0.894,10,-4.89,1,0.102,0.136,0.0,0.106,0.777,168.062,audio_features,43LdgobPlcCc5g9Kmactvy,spotify:track:43LdgobPlcCc5g9Kmactvy,https://api.spotify.com/v1/tracks/43LdgobPlcCc5g9Kmactvy,https://api.spotify.com/v1/audio-analysis/43LdgobPlcCc5g9Kmactvy,274360,4,Why Don't You & I,2003
53,0.714,0.862,6,-5.531,1,0.286,0.0305,0.0,0.0884,0.887,92.849,audio_features,0ZHu7jkSSrT0eK4OxuG4O5,spotify:track:0ZHu7jkSSrT0eK4OxuG4O5,https://api.spotify.com/v1/tracks/0ZHu7jkSSrT0eK4OxuG4O5,https://api.spotify.com/v1/audio-analysis/0ZHu7jkSSrT0eK4OxuG4O5,281240,4,Excuse Me Miss,2003
54,0.84,0.762,6,-5.454,1,0.226,0.00736,3.77e-06,0.0615,0.946,99.987,audio_features,0jiBVBJkLrlGLgrIVmd3VK,spotify:track:0jiBVBJkLrlGLgrIVmd3VK,https://api.spotify.com/v1/tracks/0jiBVBJkLrlGLgrIVmd3VK,https://api.spotify.com/v1/audio-analysis/0jiBVBJkLrlGLgrIVmd3VK,189765,4,Jenny from the Block,2003
55,0.484,0.827,8,-5.324,1,0.046,0.0039,0.00143,0.0876,0.717,179.566,audio_features,5B7XIcS5T76NJZFOHX30Io,spotify:track:5B7XIcS5T76NJZFOHX30Io,https://api.spotify.com/v1/tracks/5B7XIcS5T76NJZFOHX30Io,https://api.spotify.com/v1/audio-analysis/5B7XIcS5T76NJZFOHX30Io,230760,4,Are You Happy Now?,2003
56,0.469,0.722,6,-4.806,1,0.0326,0.232,0.0,0.123,0.529,85.984,audio_features,5eQtR62IZ8P8qZM2pSD9Ip,spotify:track:5eQtR62IZ8P8qZM2pSD9Ip,https://api.spotify.com/v1/tracks/5eQtR62IZ8P8qZM2pSD9Ip,https://api.spotify.com/v1/audio-analysis/5eQtR62IZ8P8qZM2pSD9Ip,283000,4,Forever and for Always,2003
57,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,audio_features,0I1eFRytp4XRhLCjT6tZm7,spotify:track:0I1eFRytp4XRhLCjT6tZm7,https://api.spotify.com/v1/tracks/0I1eFRytp4XRhLCjT6tZm7,https://api.spotify.com/v1/audio-analysis/0I1eFRytp4XRhLCjT6tZm7,198213,3,I Can,2003
58,0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204,audio_features,6fR6Z0Vc1K6yQWNUIKjAIR,spotify:track:6fR6Z0Vc1K6yQWNUIKjAIR,https://api.spotify.com/v1/tracks/6fR6Z0Vc1K6yQWNUIKjAIR,https://api.spotify.com/v1/audio-analysis/6fR6Z0Vc1K6yQWNUIKjAIR,302720,4,Underneath It All,2003
59,0.687,0.537,10,-7.639,1,0.0305,0.561,0.0,0.107,0.264,120.023,audio_features,4gJoAvFpDvaeqm2EKYGmhb,spotify:track:4gJoAvFpDvaeqm2EKYGmhb,https://api.spotify.com/v1/tracks/4gJoAvFpDvaeqm2EKYGmhb,https://api.spotify.com/v1/audio-analysis/4gJoAvFpDvaeqm2EKYGmhb,257160,4,If You're Not the One,2003
60,0.582,0.642,1,-4.925,1,0.307,0.274,2.98e-05,0.0717,0.936,85.565,audio_features,5uj2AfrbHQREGXVxhqhvyU,spotify:track:5uj2AfrbHQREGXVxhqhvyU,https://api.spotify.com/v1/tracks/5uj2AfrbHQREGXVxhqhvyU,https://api.spotify.com/v1/audio-analysis/5uj2AfrbHQREGXVxhqhvyU,221267,4,Thoia Thoing,2003
61,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,audio_features,3NLrRZoMF0Lx6zTlYqeIo4,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4,https://api.spotify.com/v1/audio-analysis/3NLrRZoMF0Lx6zTlYqeIo4,238733,4,Here Without You,2003
62,0.806,0.867,1,-3.538,1,0.157,0.02,0.0,0.131,0.904,81.033,audio_features,6rpNe6gSkmiYW6BfSFATi5,spotify:track:6rpNe6gSkmiYW6BfSFATi5,https://api.spotify.com/v1/tracks/6rpNe6gSkmiYW6BfSFATi5,https://api.spotify.com/v1/audio-analysis/6rpNe6gSkmiYW6BfSFATi5,219400,4,Wanksta,2003
63,0.835,0.678,4,-6.458,1,0.124,0.227,6.44e-06,0.287,0.708,132.868,audio_features,3Gamc2D6VSlXpUcmhPUFYt,spotify:track:3Gamc2D6VSlXpUcmhPUFYt,https://api.spotify.com/v1/tracks/3Gamc2D6VSlXpUcmhPUFYt,https://api.spotify.com/v1/audio-analysis/3Gamc2D6VSlXpUcmhPUFYt,209490,4,My Love Is Like...Wo,2003
64,0.713,0.768,2,-6.702,1,0.0363,0.22,0.0,0.177,0.878,125.203,audio_features,07KYRDFf8Q6sqj4PWCP9vh,spotify:track:07KYRDFf8Q6sqj4PWCP9vh,https://api.spotify.com/v1/tracks/07KYRDFf8Q6sqj4PWCP9vh,https://api.spotify.com/v1/audio-analysis/07KYRDFf8Q6sqj4PWCP9vh,230267,4,It's Five O'Clock Somewhere,2003
65,0.757,0.78,1,-5.038,1,0.319,0.0811,0.0,0.113,0.589,97.917,audio_features,56m8Wv3qRBfwLuO08GtfHs,spotify:track:56m8Wv3qRBfwLuO08GtfHs,https://api.spotify.com/v1/tracks/56m8Wv3qRBfwLuO08GtfHs,https://api.spotify.com/v1/audio-analysis/56m8Wv3qRBfwLuO08GtfHs,232507,4,Like Glue,2003
66,0.859,0.658,8,-4.481,1,0.192,0.0326,0.00181,0.0651,0.538,98.989,audio_features,0cv1Mnb47oMvjVKMc2cyZw,spotify:track:0cv1Mnb47oMvjVKMc2cyZw,https://api.spotify.com/v1/tracks/0cv1Mnb47oMvjVKMc2cyZw,https://api.spotify.com/v1/audio-analysis/0cv1Mnb47oMvjVKMc2cyZw,255267,4,Can't Hold Us Down,2003
67,0.529,0.811,5,-5.62,1,0.0511,0.0317,0.0,0.311,0.454,102.703,audio_features,2CVJECHIdpe8otFH0XFI4F,spotify:track:2CVJECHIdpe8otFH0XFI4F,https://api.spotify.com/v1/tracks/2CVJECHIdpe8otFH0XFI4F,https://api.spotify.com/v1/audio-analysis/2CVJECHIdpe8otFH0XFI4F,223573,4,My Front Porch Looking In,2003
68,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,audio_features,7FDV5ELOJHCGLe52AnttEd,spotify:track:7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/tracks/7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/audio-analysis/7FDV5ELOJHCGLe52AnttEd,235133,4,Angel,2003
69,0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,audio_features,16DhvbuyvJob4Q9GHNYu2n,spotify:track:16DhvbuyvJob4Q9GHNYu2n,https://api.spotify.com/v1/tracks/16DhvbuyvJob4Q9GHNYu2n,https://api.spotify.com/v1/audio-analysis/16DhvbuyvJob4Q9GHNYu2n,216760,4,She Hates Me,2003
